"","setname","teamName","opponent","season","wonMatch","wonSet","serveErr","setErr","attackErr","freeballErr","ace","kill","stuffBlock","unforcedErrs","earnedPts"
"160","190925 CU @ UT 0-3s2","UT","CU","19","TRUE","TRUE",3,0,8,0,4,29,3,11,36
"161","190925 CU @ UT 0-3s3","CU","UT","CU 19","FALSE","FALSE",3,0,8,0,4,26,7,11,37
"162","190925 CU @ UT 0-3s3","UT","CU","19","TRUE","TRUE",3,0,8,0,4,26,7,11,37
"163","190927 CU @ OR St 1-3s1","CU","OR St","CU 19","FALSE","TRUE",5,0,3,1,3,28,7,9,38
"164","190927 CU @ OR St 1-3s1","OR St","CU","19","TRUE","FALSE",5,0,3,1,3,28,7,9,38
"165","190927 CU @ OR St 1-3s2","CU","OR St","CU 19","FALSE","FALSE",5,2,9,1,0,22,4,17,26
"166","190927 CU @ OR St 1-3s2","OR St","CU","19","TRUE","TRUE",5,2,9,1,0,22,4,17,26
"167","190927 CU @ OR St 1-3s3","CU","OR St","CU 19","FALSE","FALSE",4,1,4,1,3,26,5,10,34
"168","190927 CU @ OR St 1-3s3","OR St","CU","19","TRUE","TRUE",4,1,4,1,3,26,5,10,34
"169","190927 CU @ OR St 1-3s4","CU","OR St","CU 19","FALSE","FALSE",1,1,6,0,4,25,7,8,36
"170","190927 CU @ OR St 1-3s4","OR St","CU","19","TRUE","TRUE",1,1,6,0,4,25,7,8,36
"171","191004 CU @ AZ St 1-3s1","AZ St","CU","19","TRUE","TRUE",16,3,8,0,3,25,5,27,33
"172","191004 CU @ AZ St 1-3s1","CU","AZ St","CU 19","FALSE","FALSE",16,3,8,0,3,25,5,27,33
"173","191004 CU @ AZ St 1-3s2","AZ St","CU","19","TRUE","TRUE",2,3,7,1,3,27,4,13,34
"174","191004 CU @ AZ St 1-3s2","CU","AZ St","CU 19","FALSE","FALSE",2,3,7,1,3,27,4,13,34
"175","191004 CU @ AZ St 1-3s3","AZ St","CU","19","TRUE","FALSE",5,1,3,1,3,20,8,10,31
"176","191004 CU @ AZ St 1-3s3","CU","AZ St","CU 19","FALSE","TRUE",5,1,3,1,3,20,8,10,31
"177","191004 CU @ AZ St 1-3s4","AZ St","CU","19","TRUE","TRUE",4,0,7,0,3,23,6,11,32
"178","191004 CU @ AZ St 1-3s4","CU","AZ St","CU 19","FALSE","FALSE",4,0,7,0,3,23,6,11,32
"179","191006 CU @ AZ 0-3s1","AZ","CU","19","TRUE","TRUE",5,1,7,0,2,20,3,13,25
"180","191006 CU @ AZ 0-3s1","CU","AZ","CU 19","FALSE","FALSE",5,1,7,0,2,20,3,13,25
"181","191006 CU @ AZ 0-3s2","AZ","CU","19","TRUE","TRUE",6,0,3,1,3,37,2,10,42
"182","191006 CU @ AZ 0-3s2","CU","AZ","CU 19","FALSE","FALSE",6,0,3,1,3,37,2,10,42
"183","191006 CU @ AZ 0-3s3","AZ","CU","19","TRUE","TRUE",4,1,6,1,2,31,5,12,38
"184","191006 CU @ AZ 0-3s3","CU","AZ","CU 19","FALSE","FALSE",4,1,6,1,2,31,5,12,38
"185","191011 CU vs USC 1-3s1","CU","USC","CU 19","FALSE","FALSE",2,0,5,1,2,30,10,8,42
